institute_type,institute,branch,quota,seat_type,gender,open_2016,close_2016,open_2017,close_2017,open_2018,close_2018,open_2019,close_2019,open_2020,close_2020,open_2021,close_2021,open_2022,close_2022,open_2023,close_2023,open_2024,close_2024,open_2025,close_2025
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,,,,,,,7656,7839,10890,11172,13491,13870,12621,13007,12933,13631,12126,14062,14871,15343
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),,,,,20319,20319,19710,19710,21461,21461,26800,26800,25407,25407,24880,24880,28093,28093,31327,31327
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,,,,,15903,17411,16749,17907,19063,20636,24517,26202,25613,27109,23304,25384,23145,27706,28525,31848
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,NA,15490,16103,14093,15356,,,,,,,,,,,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),,,,,54981,56345,59267,59267,64832,64832,71765,71765,76804,77258,66352,66352,73632,73632,86651,86651
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,,,,,44634,57812,47745,58664,61479,65371,58262,78744,58365,84713,53772,76770,67259,73418,60893,88476
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,NA,42430,51940,46330,50145,,,,,,,,,,,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,,,,,,,,,,,1023,1023,,,,,,,1032,1032
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),NA,2267,2267,,,,,,,,,,,,,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),,,,,,,9951,9951,12914,12914,14040,14040,12540,12540,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,,,,,9236,10992,8390,10394,12189,12232,11458,11943,5665,12414,10988,11364,10347,12598,11540,14075
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,NA,7932,8830,9298,9483,,,,,,,,,,,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,,,,,5176,5176,4470,4470,2696,2696,4396,4396,3227,3957,4435,6481,5529,5656,5377,6064
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,NA,3025,3025,5724,5724,,,,,,,,,,,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),,,,,,,,,,,,,27646,27646,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,,,,,,,,,39191,40919,39264,43141,27663,31666,31241,35500,41077,42335,38007,40209
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),,,,,390915,390915,,,145568,148142,109376,111808,91270,91270,94871,94871,97172,97172,117238,117238
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,,,,,163987,193316,,,94069,99125,107831,116838,75670,89326,78964,90994,88617,126820,85861,127136
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,NA,33177,36116,54297,56804,,,,,,,,,,,,,,,,
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),,,,,365089,365089,183196,477967,222174,222174,191592,191592,151517,159529,155861,155861,134705,134705,129629,129629
GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,,,,,261215,368993,175514,498701,186636,257783,134130,274792,114821,186477,93133,187883,129172,251170,132071,246536
