college_name,official_url,support_url
"Assam University, Silchar",https://www.aus.ac.in,https://www.aus.ac.in/placement
"Birla Institute of Technology, Deoghar Off-Campus",https://www.bitmesra.ac.in,https://www.bitmesra.ac.in/placement
"Birla Institute of Technology, Mesra,  Ranchi",https://www.bitmesra.ac.in,https://www.bitmesra.ac.in/placement
"Birla Institute of Technology, Patna Off-Campus",https://www.bitmesra.ac.in,https://www.bitmesra.ac.in/placement
CU Jharkhand,https://www.cuj.ac.in,https://www.cuj.ac.in/placement
Central University of Haryana,https://www.cuh.ac.in,https://www.cuh.ac.in/placement
Central University of Jammu,https://www.cujammu.ac.in,https://www.cujammu.ac.in/placement
"Central University of Rajasthan, Rajasthan",https://www.curaj.ac.in,https://www.curaj.ac.in/placement
"Central institute of Technology Kokrajar, Assam",https://www.cit.ac.in,https://www.cit.ac.in/placement
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",https://www.csvtu.ac.in,https://www.csvtu.ac.in/placement
"Gati Shakti Vishwavidyalaya, Vadodara",https://www.gsvuniversity.ac.in,https://www.gsvuniversity.ac.in
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",https://www.gkciet.ac.in,https://www.gkciet.ac.in/placement
"Gurukula Kangri Vishwavidyalaya, Haridwar",https://www.gkv.ac.in,https://www.gkv.ac.in/placement
HNB Garhwal University Srinagar (Garhwal),https://www.hnbgu.ac.in,https://www.hnbgu.ac.in/placement
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,https://www.iiitmanipur.ac.in,https://www.iiitmanipur.ac.in/placement
"Indian Institute of Carpet Technology,  Bhadohi",https://www.iict-bhadohi.ac.in,https://www.iict-bhadohi.ac.in
"Indian Institute of Crop Processing Technology, Thanjavur, Tamilnadu",https://www.iicpt.edu.in,https://www.iicpt.edu.in/placement
"Indian Institute of Engineering Science and Technology, Shibpur",https://www.iiests.ac.in,https://www.iiests.ac.in/placement
"Indian Institute of Handloom Technology(IIHT), Varanasi",https://www.iiht-varanasi.ac.in,https://www.iiht-varanasi.ac.in
"Indian Institute of Handloom Technology, Salem",https://www.iihtsalem.ac.in,https://www.iihtsalem.ac.in
Indian School of Mines Dhanbad,https://www.iitism.ac.in,https://www.iitism.ac.in/placement
"Indian institute of information technology, Raichur, Karnataka",https://www.iiitrkr.ac.in,https://www.iiitrkr.ac.in/placement
"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",https://www.ictmumbai.edu.in,https://www.ictmumbai.edu.in/placement
"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",https://www.dhsgsu.ac.in,https://www.dhsgsu.ac.in/placement
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",https://www.iitram.ac.in,https://www.iitram.ac.in/placement
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",https://www.ggu.ac.in,https://www.ggu.ac.in/placement
"International Institute of Information Technology, Bhubaneswar",https://www.iiit-bh.ac.in,https://www.iiit-bh.ac.in/placement
"International Institute of Information Technology, Naya Raipur",https://www.iiitnr.ac.in,https://www.iiitnr.ac.in/placement
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",https://www.allduniv.ac.in,https://www.allduniv.ac.in
"Jawaharlal Nehru University, Delhi",https://www.jnu.ac.in,https://www.jnu.ac.in/placement
"Mizoram University, Aizawl",https://www.mzu.edu.in,https://www.mzu.edu.in/placement
"National Institute of Advanced Manufacturing Technology, Ranchi",https://www.niamt.ac.in,https://www.niamt.ac.in/placement
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",https://www.nielit.gov.in,https://www.nielit.gov.in
"National Institute of Food Technology Entrepreneurship and Management, Kundli",https://www.niftem.ac.in,https://www.niftem.ac.in/placement
"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana",https://www.niftem.ac.in,https://www.niftem.ac.in/placement
"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",https://www.niftem-t.ac.in,https://www.niftem-t.ac.in/placement
"National Institute of Foundry & Forge Technology, Hatia, Ranchi",https://www.nifft.ac.in,https://www.nifft.ac.in/placement
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",https://www.nerist.ac.in,https://www.nerist.ac.in/placement
"North-Eastern Hill University, Shillong",https://www.nehu.ac.in,https://www.nehu.ac.in/placement
"Pondicherry Engineering College, Puducherry",https://www.pec.edu,https://www.pec.edu/placement
"Puducherry Technological University, Puducherry",https://www.ptuniv.edu.in,https://www.ptuniv.edu.in/placement
"Punjab Engineering College, Chandigarh",https://www.pec.ac.in,https://www.pec.ac.in/placement
Sant Longowal Institute of Engineering and Technology,https://www.sliet.ac.in,https://www.sliet.ac.in/placement
"School of Engineering, Tezpur University, Napaam, Tezpur",https://www.tezu.ernet.in,https://www.tezu.ernet.in/placement
"School of Planning & Architecture, Bhopal",https://www.spabhopal.ac.in,https://www.spabhopal.ac.in
"School of Planning & Architecture, New Delhi",https://www.spa.ac.in,https://www.spa.ac.in
School of Planning & Architecture: Vijayawada,https://www.spavijayawada.ac.in,https://www.spavijayawada.ac.in
"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",https://www.ggu.ac.in,https://www.ggu.ac.in/placement
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",https://www.smvdu.ac.in,https://www.smvdu.ac.in/placement
University of Hyderabad,https://www.uohyd.ac.in,https://www.uohyd.ac.in/placement
"lndian Institute of Food Processing Technology, Thanjavur, Tamil Naidu.",https://www.iifpt.edu.in,https://www.iifpt.edu.in/placement
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,https://www.iiitm.ac.in,https://www.iiitm.ac.in/index.php/en/placement
Indian Institute of Information Technology  Manipur,https://www.iiitmanipur.ac.in,https://www.iiitmanipur.ac.in/placement
Indian Institute of Information Technology (IIIT) Nagpur,https://www.iiitn.ac.in,https://www.iiitn.ac.in/placement
Indian Institute of Information Technology (IIIT) Pune,https://www.iiitp.ac.in,https://www.iiitp.ac.in/placement
Indian Institute of Information Technology (IIIT) Ranchi,https://www.iiitranchi.ac.in,https://www.iiitranchi.ac.in/placement
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",https://www.iiits.ac.in,https://www.iiits.ac.in/placement
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",https://www.iiitkota.ac.in,https://www.iiitkota.ac.in/placement
Indian Institute of Information Technology Bhagalpur,https://www.iiitbh.ac.in,https://www.iiitbh.ac.in/placement
Indian Institute of Information Technology Bhopal,https://www.iiitbhopal.ac.in,https://www.iiitbhopal.ac.in/placement
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",https://www.iiitdmk.ac.in,https://www.iiitdmk.ac.in/placement
Indian Institute of Information Technology Guwahati,https://www.iiitg.ac.in,https://www.iiitg.ac.in/placement
Indian Institute of Information Technology Lucknow,https://www.iiitl.ac.in,https://www.iiitl.ac.in/placement
"Indian Institute of Information Technology Srirangam, Tiruchirappalli",https://www.iiittrichi.ac.in,https://www.iiittrichi.ac.in/placement
Indian Institute of Information Technology Surat,https://www.iiitvadodara.ac.in,https://www.iiitvadodara.ac.in/placement
Indian Institute of Information Technology Tiruchirappalli,https://www.iiittrichi.ac.in,https://www.iiittrichi.ac.in/placement
Indian Institute of Information Technology(IIIT) Dharwad,https://www.iiitdwd.ac.in,https://www.iiitdwd.ac.in/placement
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",https://www.iiitkalyani.ac.in,https://www.iiitkalyani.ac.in/placement
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",https://www.iiitsonepat.ac.in,https://www.iiitsonepat.ac.in/placement
Indian Institute of Information Technology(IIIT) Kottayam,https://www.iiitkottayam.ac.in,https://www.iiitkottayam.ac.in/placement
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",https://www.iiituna.ac.in,https://www.iiituna.ac.in/placement
"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andhra Pradesh",https://www.iiits.ac.in,https://www.iiits.ac.in/placement
"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh",https://www.iiits.ac.in,https://www.iiits.ac.in/placement
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",https://www.iiitvadodara.ac.in,https://www.iiitvadodara.ac.in/placement
"Indian Institute of Information Technology, Agartala",https://www.iiita.ac.in,https://www.iiita.ac.in/placement
"Indian Institute of Information Technology, Allahabad",https://www.iiita.ac.in,https://www.iiita.ac.in/placement
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",https://www.iiitdm.ac.in,https://www.iiitdm.ac.in/placement
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",https://www.iiitvadodara.ac.in,https://www.iiitvadodara.ac.in/placement
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",https://www.iiitdmj.ac.in,https://www.iiitdmj.ac.in/placement
Indian Institute  of Technology (BHU) Varanasi,https://www.iitbhu.ac.in,https://www.iitbhu.ac.in/placement
Indian Institute  of Technology (ISM) Dhanbad,https://www.iitism.ac.in,https://www.iitism.ac.in/placement
Indian Institute  of Technology Bhubaneswar,https://www.iitbbs.ac.in,https://www.iitbbs.ac.in/placement
Indian Institute  of Technology Bombay,https://www.iitb.ac.in,https://www.iitb.ac.in/placement
Indian Institute  of Technology Delhi,https://home.iitd.ac.in,https://home.iitd.ac.in/placement
Indian Institute  of Technology Gandhinagar,https://www.iitgn.ac.in,https://www.iitgn.ac.in/placement
Indian Institute  of Technology Guwahati,https://www.iitg.ac.in,https://www.iitg.ac.in/placement
Indian Institute  of Technology Hyderabad,https://www.iith.ac.in,https://www.iith.ac.in/placement
Indian Institute  of Technology Indore,https://www.iiti.ac.in,https://www.iiti.ac.in/placement
Indian Institute  of Technology Jodhpur,https://www.iitj.ac.in,https://www.iitj.ac.in/placement
Indian Institute  of Technology Kanpur,https://www.iitk.ac.in,https://www.iitk.ac.in/placement
Indian Institute  of Technology Kharagpur,https://www.iitkgp.ac.in,https://www.iitkgp.ac.in/placement
Indian Institute  of Technology Madras,https://www.iitm.ac.in,https://www.iitm.ac.in/placement
Indian Institute  of Technology Mandi,https://www.iitmandi.ac.in,https://www.iitmandi.ac.in/placement
Indian Institute  of Technology Palakkad,https://www.iitpkd.ac.in,https://www.iitpkd.ac.in/placement
Indian Institute  of Technology Patna,https://www.iitp.ac.in,https://www.iitp.ac.in/placement
Indian Institute  of Technology Roorkee,https://www.iitr.ac.in,https://www.iitr.ac.in/placement
Indian Institute  of Technology Ropar,https://www.iitrpr.ac.in,https://www.iitrpr.ac.in/placement
Indian Institute  of Technology Tirupati,https://www.iittp.ac.in,https://www.iittp.ac.in/placement
Indian Institute of Technology Bhilai,https://www.iitbhilai.ac.in,https://www.iitbhilai.ac.in/placement
Indian Institute of Technology Dharwad,https://www.iitdh.ac.in,https://www.iitdh.ac.in/placement
Indian Institute of Technology Goa,https://www.iitgoa.ac.in,https://www.iitgoa.ac.in/placement
Indian Institute of Technology Jammu,https://www.iitjammu.ac.in,https://www.iitjammu.ac.in/placement
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",https://www.nitj.ac.in,https://www.nitj.ac.in/placement
Malaviya National Institute of Technology Jaipur,https://www.mnit.ac.in,https://www.mnit.ac.in/placement
Maulana Azad National Institute of Technology Bhopal,https://www.manit.ac.in,https://www.manit.ac.in/placement
Motilal Nehru National Institute of Technology Allahabad,https://www.mnnit.ac.in,https://www.mnnit.ac.in/placement
National Institute of Technology  Agartala,https://www.nita.ac.in,https://www.nita.ac.in/placement
National Institute of Technology Arunachal Pradesh,https://www.nitap.ac.in,https://www.nitap.ac.in/placement
National Institute of Technology Calicut,https://www.nitc.ac.in,https://www.nitc.ac.in/placement
National Institute of Technology Delhi,https://www.nitdelhi.ac.in,https://www.nitdelhi.ac.in/placement
National Institute of Technology Durgapur,https://www.nitdgp.ac.in,https://www.nitdgp.ac.in/placement
National Institute of Technology Goa,https://www.nitgoa.ac.in,https://www.nitgoa.ac.in/placement
National Institute of Technology Hamirpur,https://www.nith.ac.in,https://www.nith.ac.in/placement
"National Institute of Technology Karnataka, Surathkal",https://www.nitk.ac.in,https://www.nitk.ac.in/placement
National Institute of Technology Meghalaya,https://www.nitm.ac.in,https://www.nitm.ac.in/placement
National Institute of Technology Nagaland,https://www.nitnagaland.ac.in,https://www.nitnagaland.ac.in/placement
National Institute of Technology Patna,https://www.nitp.ac.in,https://www.nitp.ac.in/placement
National Institute of Technology Puducherry,https://www.nitpy.ac.in,https://www.nitpy.ac.in/placement
National Institute of Technology Raipur,https://www.nitrr.ac.in,https://www.nitrr.ac.in/placement
National Institute of Technology Sikkim,https://www.nitsikkim.ac.in,https://www.nitsikkim.ac.in/placement
"National Institute of Technology, Andhra Pradesh",https://www.nitandhra.ac.in,https://www.nitandhra.ac.in/placement
"National Institute of Technology, Jamshedpur",https://www.nitjsr.ac.in,https://www.nitjsr.ac.in/placement
"National Institute of Technology, Kurukshetra",https://www.nitkkr.ac.in,https://www.nitkkr.ac.in/placement
"National Institute of Technology, Manipur",https://www.nitmanipur.ac.in,https://www.nitmanipur.ac.in/placement
"National Institute of Technology, Mizoram",https://www.nitmz.ac.in,https://www.nitmz.ac.in/placement
"National Institute of Technology, Rourkela",https://www.nitrkl.ac.in,https://www.nitrkl.ac.in/placement
"National Institute of Technology, Silchar",https://www.nits.ac.in,https://www.nits.ac.in/placement
"National Institute of Technology, Srinagar",https://www.nitsri.ac.in,https://www.nitsri.ac.in/placement
